Class,DeiT Precision (%),Swin Precision (%),DeiT Recall (%),Swin Recall (%),DeiT F1-Score (%),Swin F1-Score (%)
bakso,100.0,100.0,93.33333333333333,97.77777777777777,96.55172413793103,98.87640449438202
gado_gado,97.77777777777777,97.87234042553192,95.65217391304348,100.0,96.7032967032967,98.9247311827957
nasi_goreng,93.18181818181817,100.0,100.0,95.1219512195122,96.47058823529412,97.5
rendang,100.0,95.0,94.87179487179486,97.43589743589743,97.36842105263158,96.20253164556962
soto_ayam,94.44444444444444,98.07692307692307,100.0,100.0,97.14285714285714,99.02912621359224
