Model,Acc,Prec,Recall,F1,Best_Val
DeiT,96.84684684684684,97.00404950404949,96.84684684684684,96.84742111506284,96.84684684684684
Swin,98.1981981981982,98.23896728152047,98.1981981981982,98.19756760237031,98.1981981981982
